Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland
Areal series, starting in 1836
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1878  139.7   71.3   97.9   53.1  101.7   79.9   44.5  123.2  161.5  161.7  118.9   93.5   389.2   252.7   247.5   442.0  1246.7
1879   58.9   73.0  113.5   57.2   76.8  110.7  144.2  149.0  146.7   80.4   77.3  100.7   225.4   247.5   403.8   304.4  1188.4
1880   90.0  150.4   75.6  104.7   48.4   75.8  116.0   34.2  102.6   80.4  167.3  138.0   341.1   228.7   226.0   350.3  1183.5
1881   33.7  107.4  115.8   45.2   81.4  108.0  141.2  119.6   81.6  113.5  182.4  143.2   279.2   242.4   368.9   377.6  1273.1
1882  133.0  126.6  165.6   99.0   70.6  117.7  148.0   96.9  121.9  108.1  177.2  158.8   402.8   335.2   362.7   407.3  1523.5
1883  151.9  147.4   83.2   62.3   77.0   72.3  117.5  150.3  110.6  152.4  177.7  157.2   458.0   222.5   340.2   440.6  1459.7
1884  211.2  139.6  113.1   42.9  107.4   40.0  131.5   96.4   98.2  158.4  157.6  176.9   508.0   263.4   267.9   414.2  1473.1
1885  103.4  160.4   93.0   72.9  101.4   60.1   60.8   81.3  194.3  135.0   96.3  140.4   440.7   267.2   202.2   425.6  1299.3
1886  149.2   67.5   94.6   72.3  103.5   55.7  106.7   75.6  130.4  122.7  140.9  152.0   357.1   270.4   238.0   394.0  1271.1
1887  135.1  107.0   62.3   76.8   45.7   37.5  104.6   94.2  118.7   92.3  118.4  124.7   394.1   184.8   236.4   329.4  1117.4
1888  113.2   60.7  106.4   77.9   98.9   78.8  125.7  108.0   53.0  132.2  200.7  117.0   298.6   283.2   312.6   386.0  1272.7
1889  108.8  125.4   90.2   90.6   68.2   28.4   70.5  172.2   70.2  114.9   91.7  137.0   351.2   249.0   271.1   276.9  1168.2
1890  224.8   35.9  133.6   60.1   62.9  121.7  124.3  128.0  115.1  180.2  207.6   46.7   397.7   256.5   374.0   502.8  1440.9
1891  109.8   66.1  110.7   39.1   75.5   47.4  102.8  170.9  165.8  152.4  129.6  194.1   222.7   225.3   321.1   447.9  1364.4
1892  144.2   82.1   41.7   45.8  120.6   96.9   88.0  160.6  160.6  154.3  124.6   87.3   420.4   208.2   345.4   439.5  1306.8
1893   93.7  141.0   67.1   47.0   60.3   56.0  108.3  126.4  138.2  173.8  136.7  195.2   321.9   174.3   290.7   448.7  1343.6
1894  176.8  245.0  120.2   41.7  101.0   76.7  116.8  151.1   15.8   91.2  135.5  142.2   617.0   263.0   344.6   242.5  1414.1
1895   85.7   30.5  122.3   82.0   31.6   72.8  130.3  162.6   72.7  143.7  141.1  147.2   258.4   235.9   365.7   357.5  1222.4
1896  106.3   76.7  154.2   83.8   33.9  109.1  116.6  101.6  152.8  151.8   68.7  167.2   330.1   271.9   327.3   373.3  1322.6
1897   55.4   94.8  166.1   72.4   75.3  111.0   83.1  138.5  122.4   89.6  110.0  183.8   317.4   313.8   332.7   321.9  1302.3
1898  122.2  153.8   92.3  114.5   83.8   79.3   55.9  136.0  133.7  129.8  162.2  243.2   459.8   290.6   271.2   425.6  1506.6
1899  157.7   84.9  116.9  129.5   91.8   57.0  100.0   48.9  168.1  116.8  175.5  136.5   485.8   338.2   205.9   460.3  1383.6
1900  178.0   98.9   45.9  101.0   91.6   92.1  116.6  132.7  124.5  165.6  144.4  244.9   413.4   238.4   341.4   434.4  1536.0
1901  102.5   76.9   89.1   95.2   51.2   99.6   64.1  130.5   90.1  142.7  115.8  163.2   424.4   235.5   294.1   348.6  1220.8
1902  119.3   50.6  115.1   69.1   89.2   60.0   94.0   91.7   98.7  103.1   99.6  165.6   333.1   273.5   245.7   301.4  1156.1
1903  198.2  199.2  211.4   74.2   72.1   63.9  145.6  194.1  105.7  248.4  131.5  104.4   563.0   357.8   403.7   485.6  1748.8
1904  131.9  119.4   72.7  160.3   93.6   71.8   68.7  145.2  109.9   91.7  100.5  141.1   355.7   326.7   285.7   302.1  1306.8
1905  111.1  122.7  152.5   88.9   64.1   45.0   82.5  132.9  105.4  129.9  161.1  109.0   375.0   305.6   260.4   396.4  1305.2
1906  171.4  116.3  106.8   70.2  144.6   39.8   97.8  142.1   65.9  174.7  169.4  143.6   396.7   321.6   279.6   410.0  1442.5
1907  108.8  118.0  118.7   81.4  109.0  143.6   76.6  154.1   46.2  139.3  112.8  146.5   370.4   309.1   374.3   298.3  1355.0
1908  137.8  123.8  157.3   65.0   75.6   77.5   87.1  106.0  171.9   57.5  122.2  135.3   408.1   298.0   270.6   351.6  1317.0
1909  146.2   72.5   94.2  105.2   87.0   57.6  117.7   93.4   69.6  199.8  106.9  139.9   354.0   286.4   268.7   376.2  1289.9
1910  151.6  151.1   86.2  147.4   82.1   54.4  115.9  185.2   47.3   88.9  147.1  148.6   442.7   315.7   355.5   283.4  1405.9
1911   96.7  163.7   73.4  109.9   75.8   84.7   92.2   89.5   85.8   95.4  191.9  207.5   408.9   259.1   266.4   373.0  1366.4
1912  124.3  107.1  137.1   82.7   67.8  123.9   79.2  142.7   78.6  145.7  156.9  245.9   438.9   287.6   345.8   381.3  1491.9
1913  124.9   97.0  170.3  106.9  107.5  101.8   32.2   49.5   80.0  104.2  182.0  142.3   467.8   384.6   183.4   366.2  1298.5
1914  131.0  162.2  137.9   92.5   83.8   48.6   93.2  108.2   78.8   65.3  188.1  219.1   435.6   314.2   250.1   332.2  1408.8
1915  140.5  166.7   95.2  113.3   35.8   37.2  123.8   89.9   83.8   80.6  100.7  184.8   526.3   244.2   250.9   265.1  1252.2
1916  205.5  156.2   75.2  102.7  120.9   92.0  110.7   95.0   60.9  217.9  170.2  141.2   546.6   298.8   297.7   449.0  1548.6
1917  101.8   36.6   81.8   76.7   74.4   85.5   52.2  157.8  118.1  232.9  224.6   91.8   279.7   232.9   295.5   575.6  1334.2
1918  129.5  171.3   50.5   38.4   74.3   63.8  141.6  126.9  174.1  168.2  142.1  149.6   392.6   163.2   332.3   484.4  1430.4
1919  120.2   41.2  109.4  122.7   31.5  114.5   36.2  111.2  133.1   82.5  154.4  191.6   311.0   263.6   261.8   370.0  1248.4
1920  194.0  185.1  145.1   84.3  132.6   49.2  108.8  112.7   94.6   78.2  148.2  129.6   570.7   362.0   270.6   321.0  1462.3
1921  228.9   52.0  178.0   49.5   92.2   34.9  101.8  130.8   83.0  137.3   77.6  220.4   410.5   319.8   267.6   298.0  1386.6
1922  148.2  143.5   78.4   97.5  121.2   73.3  114.4  100.7   79.0   73.6  102.3  147.5   512.1   297.1   288.4   254.9  1279.7
1923  181.5  153.6   52.2   95.8  104.8   64.9  117.4  185.7  161.2  201.4  149.0  148.2   482.6   252.7   368.0   511.7  1615.7
1924  123.7   68.1   38.3   78.0  117.1   83.8  141.6  138.6  169.4  116.7   98.8  213.0   340.0   233.4   364.0   384.9  1387.1
1925  144.8  161.8   87.2  135.8  152.9   32.2   74.2   91.0  120.6  126.3   56.4  140.9   519.7   376.0   197.4   303.3  1324.2
1926  186.5  125.3  127.3   81.0   88.9   88.0   88.4  112.4  127.5  172.8  174.8  106.5   452.7   297.2   288.8   475.1  1479.4
1927  191.1   73.2  102.8  134.5   79.5  122.9   99.4  133.8  180.4  174.2  147.7   42.8   370.8   316.9   356.1   502.3  1482.4
1928  277.6  144.0  128.6   63.3   48.3  128.2   97.5  137.0  106.0  189.5  192.3  146.4   464.4   240.2   362.7   487.8  1658.6
1929   53.8   48.7   28.3   61.2   91.0   87.2  103.4  162.3   84.4  197.4  176.4  261.8   249.0   180.4   353.0   458.2  1355.9
1930  191.3   26.7   83.6   62.0   66.8   83.4   89.1  195.0  120.5  205.5  181.3  143.8   479.8   212.4   367.5   507.2  1448.9
1931  161.0  138.7   38.2   83.6  111.5  138.1  132.3   67.1   52.0  117.4  187.9  149.8   443.4   233.3   337.6   357.3  1377.6
1932  223.4   12.8   93.3  134.1   84.9   37.8  126.6   77.5  140.6  205.9  142.0  180.9   386.0   312.2   242.0   488.5  1459.9
1933  148.1  128.2   71.8   91.2   54.8   66.3  111.1  108.0   40.4  148.1   83.8   45.5   457.3   217.8   285.4   272.3  1097.3
1934  180.1   48.3  101.3  145.2   99.9   60.5  113.3  140.3  150.1  214.3   65.5  182.0   273.9   346.4   314.0   429.8  1500.6
1935  108.0  163.1   80.8  103.6   35.6  111.0   69.1  106.0  184.6  253.8  145.1   99.3   453.1   220.0   286.1   583.5  1459.9
1936  132.6   81.7   75.1   46.2   50.0   53.8  149.8   87.6  109.7  155.1  112.2  204.1   313.6   171.4   291.2   377.1  1258.1
1937  201.5  141.0   71.5   53.0   64.5   81.4  119.6  101.4   99.0   93.7   40.0   87.7   546.6   189.0   302.3   232.7  1154.3
1938  215.8  108.0  140.2   29.5  103.3  155.3  145.9   87.3  124.0  249.3  237.4  137.2   411.6   273.0   388.6   610.7  1733.3
1939  135.6  163.4  115.7   71.5   35.8   63.8  167.5   65.2   72.6   93.7  205.8   87.3   436.1   223.1   296.6   372.1  1278.0
1940   52.8   62.1  116.8   88.7   50.2   39.6  175.0   84.9  110.8  152.2  206.7  163.5   202.2   255.8   299.5   469.7  1303.4
1941   59.1  125.1   70.0   64.4   71.1   30.3  100.2  161.5   58.0  150.3  150.5  116.0   347.7   205.6   291.9   358.9  1156.6
1942  154.1   75.6   69.6   62.5   87.6   60.4  114.2  142.3  162.6  190.8   57.2  195.3   345.7   219.7   316.9   410.6  1372.1
1943  148.4  152.4   82.5  121.8  104.9  102.3   86.2  163.8  120.4  212.1  125.0   87.9   496.0   309.3   352.3   457.5  1507.7
1944  177.8   78.1   60.3   83.9  104.5  119.5   73.9   94.1  135.5  161.1  186.0  162.1   343.8   248.7   287.4   482.6  1436.7
1945  132.9  171.5   95.6   66.6  120.3  117.7   94.6   80.4  148.1  139.1   30.2  149.2   466.5   282.5   292.7   317.4  1346.3
1946  157.0  118.7   76.0   62.7   42.5  110.9  150.4  122.8  180.0   19.5  177.7  139.9   425.0   181.2   384.2   377.2  1358.2
1947  134.1   34.2   96.9  194.0   92.4  106.5  102.4    4.3  154.7   76.1  204.8   89.5   308.2   383.4   213.2   435.7  1290.0
1948  186.2  130.9  109.1   99.5   67.5  132.9  106.0  186.8  169.1  170.3  117.8  184.7   406.5   276.1   425.7   457.3  1660.8
1949  179.3  145.8   83.5  136.8   75.4   43.6   63.8  143.4   75.9  158.6  154.0  249.9   509.8   295.6   250.7   388.5  1509.8
1950  119.3  143.0  101.3  134.1   51.1   88.0  136.5  146.3  262.8  134.1  133.8   91.7   512.2   286.5   370.8   530.6  1542.0
1951  152.8  110.8   97.5  123.1   43.7   63.1  114.1  148.8   93.5   58.8  221.9  209.2   355.2   264.3   326.0   374.1  1437.1
1952  139.3   70.0  104.3   66.9   70.1   96.8   84.5  133.8  104.0  148.0  104.0  149.7   418.5   241.3   315.2   356.0  1271.5
1953   89.6   84.3   44.9   99.9   88.7   63.8  153.5  111.5  140.1   96.0  203.6  141.6   323.6   233.5   328.9   439.7  1317.7
1954  131.1  109.4   98.5   53.5  122.2  105.1  106.6  118.6  163.3  241.4  209.2  226.7   382.1   274.2   330.3   613.9  1685.6
1955   91.7   96.7   52.5   71.2   94.9   69.4   32.6   36.5  127.7  141.6   68.7  218.1   415.1   218.6   138.6   338.0  1101.7
1956  128.4   74.7   66.7   62.5   85.2   88.0  160.3  173.0  128.2  126.4  102.8  203.0   421.2   214.5   421.3   357.5  1399.4
1957  195.0  109.2  127.5   59.1   59.7   75.0  147.7  153.9  104.3  147.7   77.5  187.4   507.2   246.3   376.6   329.5  1444.0
1958  156.8  111.2   64.8   70.7  122.1   77.1  116.5  130.3  111.0  139.3   53.8  150.2   455.3   257.5   323.9   304.1  1303.6
1959  110.4   53.3   86.5  114.1   44.4   93.8  143.2   67.2   46.9  168.3  187.8  200.3   313.9   244.9   304.1   403.0  1316.0
1960  122.8  124.9   51.1  112.5   59.2   78.5  101.4  137.6   87.4  111.8  147.7  156.2   447.9   222.8   317.5   347.0  1291.2
1961  125.0  140.5   98.0   96.3   59.4   79.3  120.3  162.1  153.0  199.9  119.1  114.3   421.8   253.6   361.7   472.0  1467.2
1962  234.0  137.6   63.5   75.9   91.7   85.9   79.0  203.5  152.7   87.4   96.7  164.7   485.8   231.0   368.4   336.9  1472.5
1963   39.5   32.5  153.7   88.6  121.5   94.6   81.9  140.0  125.9  146.5  185.6   62.3   236.7   363.8   316.6   458.1  1272.7
1964   73.7   50.7   63.7  107.1  108.1   85.8  100.3  148.6  146.7  101.4  137.1  170.3   186.7   279.0   334.8   385.2  1293.7
1965  161.8   43.1   82.9  116.5   87.3  119.4  111.6  121.8  162.5  137.8  105.2  156.2   375.1   286.8   352.7   405.5  1406.0
1966   80.3  123.8  143.1   67.9  114.0  143.0   71.5  101.8  117.0  128.4  153.9  241.2   360.3   325.0   316.3   399.2  1485.9
1967  122.2  143.1  207.9   78.7  125.1   74.1  104.0   94.2  138.2  242.4  130.7  133.5   506.5   411.7   272.3   511.2  1594.0
1968  140.9   73.1  152.5   71.5  104.5   70.0  105.5   68.5  116.9  200.9   84.9   83.0   347.5   328.5   243.9   402.7  1272.1
1969  135.1   78.6   39.5   76.4  102.2   83.0   86.7   87.4  129.8  134.6  167.4  113.2   296.7   218.1   257.0   431.8  1233.8
1970  105.6  145.5  105.2  103.6   76.9   70.9  150.1  119.0  148.7  201.1  188.0   88.9   364.3   285.7   340.0   537.8  1503.5
1971  128.4   98.0   97.5   56.3   77.5   71.2   82.1   98.4   58.3  163.4  150.8  130.7   315.3   231.3   251.7   372.5  1212.5
1972  141.2   92.4   71.0  125.1  111.8  119.2   58.3   81.2   32.6   71.2  168.4  136.3   364.3   307.9   258.6   272.2  1208.6
1973  106.3  115.1   77.4   85.0   98.0   95.0   85.4  110.0  102.4   78.5  174.7  174.5   357.7   260.4   290.5   355.7  1302.5
1974  253.0  125.1   66.7   14.6   78.4   69.4  106.4  100.4  141.4  106.9  198.9  251.1   552.6   159.7   276.2   447.2  1512.3
1975  253.5   47.7   62.0  106.3   43.4   66.5  107.2   81.2  176.4   80.3  139.5  106.6   552.2   211.8   254.9   396.3  1270.7
1976  202.3   99.8  133.5   65.9  119.5   74.3   66.3   23.0  127.1  182.3  131.8   98.2   408.7   319.0   163.7   441.2  1324.1
1977  112.9  118.4  133.9  134.1   73.5   68.5   62.6  101.2  154.0  176.3  214.0   91.6   329.6   341.5   232.2   544.3  1441.0
1978  154.9   95.2  173.0   47.3   35.8   64.8   85.4   97.2  187.7  116.1  209.2  136.0   341.7   256.1   247.5   513.0  1402.7
1979  118.1   45.5  188.3   93.6   93.4   78.1  104.3  128.6  130.2  144.1  214.6  193.2   299.6   375.4   311.0   489.0  1532.2
1980  112.9   95.7  103.8   21.0   25.3  138.4  119.0  131.6  187.2  184.0  178.5  221.6   401.9   150.1   389.1   549.8  1519.2
1981  169.7   98.2  148.0   33.4   79.3   99.4   88.8   54.0  228.0  216.6  234.9   78.5   489.4   260.7   242.2   679.5  1528.7
1982  148.4  115.4  156.2   47.5   93.9   56.1   51.8  160.6  200.0  185.8  224.9  206.5   342.2   297.5   268.5   610.6  1646.9
1983  241.2   60.5  157.4   68.7   96.6   79.3   47.0   48.5  167.0  247.3   54.4  227.3   508.2   322.7   174.8   468.7  1495.3
1984  216.7  109.7  102.0   62.0   23.3   66.8   53.6   50.4  164.4  212.2  230.8  164.5   553.7   187.3   170.9   607.4  1456.3
1985   84.7   47.0   95.8  113.0   73.4   83.7  166.6  228.5  195.6   81.9  141.2  192.1   296.1   282.2   478.8   418.7  1503.5
1986  191.8   20.7  168.8   81.4  177.6   62.2   87.1  119.7   61.6  160.8  227.9  277.2   404.6   427.8   269.0   450.3  1636.7
1987   73.2   87.1  155.0   68.5   74.8   98.8  110.1  118.6  149.1  161.4  113.0  141.3   437.4   298.3   327.5   423.5  1350.8
1988  195.8  136.1  169.1   77.3   57.6   31.9  191.2  173.8  146.4  168.6   98.5  147.4   473.1   303.9   396.8   413.5  1593.5
1989  198.8  237.7  186.6   64.9   54.8   77.0   49.5  185.2   94.1  183.9   60.8   96.1   583.8   306.3   311.7   338.8  1489.3
1990  245.0  289.4  239.0   98.9   54.0  129.7   74.3  119.6  144.5  208.8  100.8  188.1   630.4   391.9   323.5   454.1  1892.1
1991  149.0   83.3  126.3  124.8   41.3  122.2   92.6   67.8  129.9  163.8  221.0  139.2   420.4   292.3   282.6   514.7  1461.2
1992  137.0  170.5  207.8  120.4   80.5   40.8   91.8  223.4  173.3  120.9  209.3  156.0   446.7   408.6   356.0   503.5  1731.6
1993  303.0   68.1  121.6  115.7  112.0   74.2  114.8   75.9   74.3  114.9   77.4  232.4   527.1   349.4   264.9   266.6  1484.3
1994  215.4   94.8  248.4  135.2   30.2  113.3   67.1  103.0  106.4  109.5  154.9  243.3   542.6   413.8   283.3   370.8  1621.4
1995  227.6  204.4  144.7   68.2   82.9   42.7   88.4   34.9  191.8  225.0  125.3   56.8   675.4   295.9   166.0   542.1  1492.9
1996   89.0  139.7   59.2  109.3   78.2   66.0   79.0   69.9   65.2  225.5  193.2   96.1   285.5   246.7   214.9   483.9  1270.2
1997   57.6  268.6  138.8   78.5  109.5   99.8   88.1   66.9  114.1   80.8  137.6  183.1   422.3   326.7   254.8   332.5  1423.4
1998  166.8  201.4  122.6  119.3   56.0  113.3  151.0  130.0   92.2  235.2  179.2  180.9   551.3   298.0   394.3   506.5  1747.9
1999  222.9  142.5  125.4  111.2  111.1  118.1   87.1   65.7  170.8  119.7  194.4  270.9   546.2   347.7   270.8   484.9  1739.7
2000  198.8  200.1  126.1  106.5   65.2   76.5   54.9  116.2  153.2  234.9  177.0  190.9   669.9   297.8   247.6   565.1  1700.3
2001   90.8  102.7   77.3   75.5   43.3   87.7   99.9  115.4  108.9  239.4  150.8  116.4   384.4   196.1   303.0   499.1  1308.1
2002  211.9  243.6  126.5   89.4  110.7  137.4  126.9   89.6   51.5  184.5  174.5   74.4   571.9   326.6   353.8   410.4  1620.7
2003  169.1   63.2   83.0   59.4  138.1   76.2   80.7   45.3   85.3   79.0  160.2  167.8   306.8   280.5   202.2   324.4  1207.2
2004  206.8  108.7   98.3  123.5   61.6  131.0   75.8  189.3  174.7  204.1  121.4  192.5   483.3   283.5   396.2   500.1  1687.9
2005  239.4  109.5  112.9  122.2  115.6  104.0   48.6  134.7  138.8  183.0  172.4   97.6   541.5   350.6   287.3   494.3  1578.8
2006  107.9   85.4  136.5  107.8  118.1   75.1   70.7   96.6  149.3  194.6  240.3  261.7   291.0   362.4   242.3   584.2  1644.0
2007  239.7  131.6  138.9   53.4  129.7  109.6  134.3  138.3  100.4   99.4  157.8  142.7   633.0   322.0   382.2   357.6  1575.8
2008  275.0  159.4  165.6   97.6   26.0  107.7  107.3  155.3  106.6  237.0  145.0  135.5   577.1   289.2   370.3   488.6  1717.8
2009  164.9   83.1  147.9   80.4  121.2   70.4  154.4  200.9  127.0  166.3  260.9  101.3   383.4   349.5   425.7   554.2  1678.7
2010   92.4   81.5  100.9   85.4   49.9   39.5  164.9  102.2  152.5  147.5  165.5   61.9   275.3   236.2   306.6   465.4  1244.2
2011  135.6  164.8  103.9   77.2  188.8   99.5   98.7  162.7  187.5  204.1  177.7  262.1   362.3   369.9   360.9   569.4  1862.7
2012  181.7  105.7   57.5  114.2   82.9  126.3  125.3  134.9  145.9  150.9  158.8  212.2   549.5   254.6   386.4   455.6  1596.2
2013  147.1   81.8   51.6  115.7  118.1   59.9   81.6   88.1  100.7  190.1  128.4  295.1   441.1   285.3   229.6   419.2  1458.0
2014  215.0  221.5  129.5   92.8   99.3   67.2   86.2  187.7   39.0  246.6  137.7  217.0   731.6   321.6   341.2   423.4  1739.7
2015  250.4  123.3  171.2   78.3  151.1   92.2  151.2  116.4   49.8   92.2  240.1  324.0   590.6   400.5   359.8   382.1  1840.1
2016  252.5  162.7   89.6   99.1   72.6   89.4  137.6  118.1  142.2   65.6  113.4  145.5   739.3   261.3   345.1   321.2  1488.4
2017   99.8  142.2  127.3   62.9   53.5  153.1  110.0  146.3  140.8  178.1  163.3  145.4   387.5   243.7   409.4   482.3  1522.9
2018  184.0   96.8   99.1   85.5   47.9   69.2   79.3  103.6  171.0  168.6  159.0  131.3   426.2   232.5   252.2   498.7  1395.4
2019  106.8  104.3  178.7   52.8  104.5  102.6  129.1  207.6  131.7  148.4  102.5  189.8   342.3   336.0   439.4   382.6  1558.9
2020  202.5  277.3  120.5   30.2   76.9  123.6  134.3  112.1  125.5  240.3  161.6  196.0   669.7   227.5   370.0   527.5  1800.9
2021  142.9  139.4  146.3   37.1  111.4   40.8   70.0   86.5  109.4  228.6  144.5  133.0   478.3   294.8   197.3   482.5  1390.0
2022  110.2  215.6                                                                         458.8                                
